You are now connected to database "nc_news" as user "jadwiga".
                                         title                                         | article_id |  topic   |     created_at      | votes |    author    | comment_count 
---------------------------------------------------------------------------------------+------------+----------+---------------------+-------+--------------+---------------
 The Notorious MSG’s Unlikely Formula For Success                                      |         34 | cooking  | 2020-11-22 11:13:00 |     0 | grumpy19     |            11
 The battle for Node.js security has only begun                                        |         12 | coding   | 2020-11-15 13:25:00 |     0 | tickle122    |             7
 JavaScript’s Apply, Call, and Bind Methods are Essential for JavaScript Professionals |          6 | coding   | 2020-11-11 15:09:00 |     0 | grumpy19     |            11
 Running a Node App                                                                    |          1 | coding   | 2020-11-07 06:03:00 |     0 | jessjelly    |             8
 Agility Training Drills For Football Players                                          |         21 | football | 2020-10-26 10:05:00 |     0 | tickle122    |             8
 Using React Native: One Year Later                                                    |          7 | coding   | 2020-10-18 01:26:00 |     0 | tickle122    |             8
 Express.js: A Server-Side JavaScript Framework                                        |          8 | coding   | 2020-10-05 23:23:00 |     0 | cooljmessy   |             7
 Seafood substitutions are increasing                                                  |         33 | cooking  | 2020-09-16 17:26:00 |     0 | weegembump   |             6
 Who are the most followed clubs and players on Instagram?                             |         19 | football | 2020-09-13 13:02:00 |     0 | jessjelly    |            13
 Making sense of Redux                                                                 |          4 | coding   | 2020-09-11 21:12:00 |     0 | jessjelly    |             9
 The People Tracking Every Touch, Pass And Tackle in the World Cup                     |         18 | football | 2020-08-17 15:03:00 |     0 | grumpy19     |             8
 History of FC Barcelona                                                               |         16 | football | 2020-08-03 00:14:00 |     0 | weegembump   |            16
 Game of talents: management lessons from top football coaches                         |         24 | football | 2020-07-09 23:14:00 |     0 | jessjelly    |             5
 What does Jose Mourinho's handwriting say about his personality?                      |         13 | football | 2020-07-08 20:25:00 |     0 | weegembump   |             6
 Designing Better JavaScript APIs                                                      |         11 | coding   | 2020-07-07 00:13:00 |     0 | tickle122    |             5
 An Introduction to JavaScript Object Notation (JSON) in JavaScript and .NET           |         10 | coding   | 2020-07-02 12:23:00 |     0 | cooljmessy   |             8
 Who Will Manage Your Club in 2021?                                                    |         14 | football | 2020-06-24 15:14:00 |     0 | happyamy2016 |             3
 Halal food: Keeping pure and true                                                     |         32 | cooking  | 2020-06-18 21:08:00 |     0 | grumpy19     |             5
 What to Cook This Week                                                                |         31 | cooking  | 2020-06-09 03:19:00 |     0 | tickle122    |            12
 Learn HTML5, CSS3, and Responsive WebSite Design in One Go                            |          9 | coding   | 2020-05-26 15:06:00 |     0 | grumpy19     |             8
 Stone Soup                                                                            |         35 | cooking  | 2020-05-26 07:25:00 |     0 | cooljmessy   |            14
 The Rise Of Thinking Machines: How IBM's Watson Takes On The World                    |          2 | coding   | 2020-05-14 01:02:00 |    10 | jessjelly    |             6
 Please stop worrying about Angular 3                                                  |          5 | coding   | 2020-04-21 17:06:00 |     0 | jessjelly    |             6
 Defensive Metrics: Measuring the Intensity of a High Press                            |         22 | football | 2020-04-17 13:10:00 |     0 | tickle122    |             8
 HOW COOKING HAS CHANGED US                                                            |         26 | cooking  | 2020-04-06 01:00:00 |     0 | weegembump   |            11
 Sunday league football                                                                |         23 | football | 2020-03-22 14:25:00 |     0 | weegembump   |            14
 Which current Premier League manager was the best player?                             |         17 | football | 2020-03-19 11:15:00 |     0 | cooljmessy   |            12
 Why do England managers keep making the same mistakes?                                |         15 | football | 2020-03-19 00:14:00 |     0 | tickle122    |             4
 Sweet potato & butternut squash soup with lemon & garlic toast                        |         25 | cooking  | 2020-03-11 21:16:00 |     0 | weegembump   |             4
 History of Football                                                                   |         20 | football | 2020-03-10 21:05:00 |     0 | tickle122    |             5
 The vegan carnivore?                                                                  |         36 | cooking  | 2020-03-09 21:21:00 |     0 | tickle122    |             6
 22 Amazing open source React projects                                                 |          3 | coding   | 2020-02-29 11:12:00 |     0 | happyamy2016 |            10
 Thanksgiving Drinks for Everyone                                                      |         27 | cooking  | 2020-01-24 23:22:00 |     0 | grumpy19     |            13
 Twice-Baked Butternut Squash Is the Thanksgiving Side Dish of Your Dreams             |         30 | cooking  | 2020-01-11 20:20:00 |     0 | jessjelly    |             8
 A BRIEF HISTORY OF FOOD—NO BIG DEAL                                                   |         29 | cooking  | 2020-01-06 20:12:00 |     0 | tickle122    |            10
 High Altitude Cooking                                                                 |         28 | cooking  | 2020-01-04 00:24:00 |     0 | happyamy2016 |             5
(36 rows)

